ANDRESY;EPINAY-VILLETANEUSE;;;
CHANTELOUP-LES-VIGNES;EPINAY-SUR-SEINE;;;
VAL-D'ARGENTEUIL;EPINAY-SUR-ORGE;;;
GAREST-LAZARE;ENGHIEN-LES-BAINS;;;
ASNIERES-SUR-SEINE;EMERAINVILLE-PONTAULT-COMBAULT;;;
MANTES-LA-JOLIE;EGLY;;;
MANTES-STATION;ECOUEN-EZANVILLE;;;
EPONE-MEZIERES;DRANCY;;;
DAMMARTIN-JUILLY-ST-MARD;DOURDAN-LA-FORET;;;
THIEUX-NANTOUILLET;DOURDAN;;;
COMPANS;DOMONT;;;
ST-GERMAING.C.;DEUIL-MONTMAGNY;;;
MARLY-LE-ROI;DENFERT-ROCHEREAU;;;
LOUVECIENNES;DAMMARTIN-JUILLY-ST-MARD;;;
CLICHY-LEVALLOIS;CROUY-SUR-OURCQ;;;
VAUCRESSON;CRECY-EN-BRIE-LA-CHAPELLE;;;
SEVRES-VILLE-D'AVRAY;COURCELLE-SUR-YVETTE;;;
LAGARENNE-COLOMBES;COURBEVOIE;;;
L'ETANG-LA-VILLE;COULOMMIERS;;;
COURBEVOIE;COUILLY-ST-GERMAIN-QUINCY;;;
GARCHES-MARNES-LA-COQUETTE;COUDRAY-MONTCEAUX;;;
PONT-CARDINET;CORMEILLES-EN-PARISIS;;;
NOISY-LE-ROI;CORBEIL-ESSONNES;;;
MONTREUIL;CONFLANS-STE-HONORINE;;;
ST-GERMAIN-BEL-AIR-FOURQUEUX;CONFLANS-FIN-D'OISE;;;
MAREIL-MARLY;COMPANS;;;
BECON-LES-BRUYERES;COMBS-LA-VILLE-QUINCY;;;
VIROFLAYR.D.;COLOMBES;;;
CHAVILLER.D.;COIGNIERES;;;
ST-NOM-LA-BRETECHE-FORET-DE-MARLY;CLICHY-LEVALLOIS;;;
VERSAILLESR.D;CLAMART;;;
LACELLE-ST-CLOUD;CITEUNIVERSITAIRE;;;
LESVALLEES;CHOISY-LE-ROI;;;
BOUGIVAL;CHILLY-MAZARIN;;;
VAL-D'OR;CHENAY-GAGNY;;;
SURESNESMONT-VALERIEN;CHEMIN-D'ANTONY;;;
PUTEAUX;CHELLES-GOURNAY;;;
ST-CLOUD;CHAVILLER.G;;;
BEYNES;CHAVILLER.D.;;;
VILLEPREUX-LES-CLAYES;CHAVILLE-VELIZY;;;
RAMBOUILLET;CHATOU-CROISSY;;;
NEZEL-AULNAY;CHATELET-LES-HALLES;;;
PLAISIR-GRIGNON;CHARTRETTES;;;
FONTENAY-LE-FLEURY;CHARS;;;
BELLEVUE;CHARLES-DEGAULLE-ETOILE;;;
CHAVILLER.G;CHAPONVAL;;;
LES-ESSARTS-LE-ROI;CHANTELOUP-LES-VIGNES;;;
MAULE;CHANGIS-ST-JEAN;;;
MAREIL-SUR-MAULDRE;CHAMPIGNY;;;
VILLIERS-NEAUPHLEPONCHARTRAIN;CHAMPDECOURSESD'ENGHIEN;;;
SEVRESR.G;CHAMPBENOIST-POIGNY;;;
CLAMART;CHAMPAGNE-SUR-SEINE;;;
LEPERRAY;CHAMPAGNE-SUR-OISE;;;
PARISMONTPARNASSE;CHAMP-DE-MARSTOUR-EIFFEL;;;
TACOIGNIERES-RICHEBOURG;CHAMARANDE;;;
MONFORT-L'AMAURY-MERE;CESSON;;;
VANVES-MALAKOFF;CERNAY;;;
ORGERUS-BEHOUST;CERGY-ST-CHRISTOPHE;;;
GARANCIERES-LAQUEUE;CERGY-PREFECTURE;;;
HOUDAN;BUSSY-ST-GEORGES;;;
PLAISIR-LES-CLAYES;BURES-SUR-YVETTE;;;
COIGNIERES;BUNO-GIRONVILLE;;;
MEUDON;BRY-SUR-MARNE;;;
TRAPPES;BRUYERE-SUR-OISE;;;
LAVERRIERE;BRUNOY;;;
CHANGIS-ST-JEAN;BREUILLET-VILLAGE;;;
VAIRES-TORCY;BREUILLET-BRUYERES-LE-CHATEL;;;
PARISEST;BRETIGNY;;;
VILLIERS-MONTBARBIN;BOUTIGNY;;;
MORTCERF;BOUSSY-ST-ANTOINE;;;
MARLES-EN-BRIE;BOURRON-MARLOTTE-GREZ;;;
STE-COLOMBESEPTVEILLES;BOURG-LA-REINE;;;
LESCHAMPS-FORTS;BOURAY;;;
TRILPORT;BOULAINVILLIERS;;;
LAFERTE-SOUS-JOUARRE;BOUGIVAL;;;
LONGUEVILLE;BOUFFEMONT-MOISSELLES;;;
VERNEUIL-L'ETANG;BONNIERES;;;
CROUY-SUR-OURCQ;BONDY;;;
LIZY-SUR-OURCQ;BOISSY-ST-LEGER;;;
NANTEUIL-SAACY;BOISSY-L'AILLERIE;;;
MEAUX;BOISSISE-LE-ROI;;;
ESBLY;BOIS-LE-ROI;;;
LAGNY-THORIGNY;BOIS-COLOMBES;;;
GUERARD-LA-CELLE-SUR-MORIN;BOIGNEVILLE;;;
FAREMOUTIERS-POMMEUSE;BLANC-MESNIL;;;
CHAMPBENOIST-POIGNY;BIEVRES;;;
MORMANT;BIBLIOTHEQUEFRANCOISMITTERAND;;;
ISLES-ARMENTIERES-CONGIS;BEYNES;;;
MOUROUX;BESSANCOURT;;;
COULOMMIERS;BELLOY-ST-MARTIN;;;
COUILLY-ST-GERMAIN-QUINCY;BELLEVUE;;;
CRECY-EN-BRIE-LA-CHAPELLE;BECON-LES-BRUYERES;;;
PROVINS;BDVICTOR-PONTDUGARIGLIANO;;;
MONTRY-CONDE;BALLANCOURT;;;
NANGIS;BAGNEUX(PONTROYAL);;;
PARISLYON;BAGNEAUX-SUR-LOING;;;
FONTAINE-LE-PORT;AV.PDTKENNEDY-MAISONDERADIOFRANCE;;;
CHAMPAGNE-SUR-SEINE;AV.HENRIMARTIN;;;
ST-MAMMES;AV.FOCH;;;
MONTIGNY-SUR-LOING;AUVERS-SUR-OISE;;;
MONTEREAU;AULNAY-SOUS-BOIS;;;
LIVRY-SUR-SEINE;AUBERGENVILLE-ELISABETHVILLE;;;
FONTAINEBLEAU-AVON;AUBER;;;
SOUPPES-CHATEAU-LANDON;ATHIS-MONS;;;
THOMERY;ASNIERES-SUR-SEINE;;;
BOURRON-MARLOTTE-GREZ;ARPAJON;;;
NEMOURS-ST-PIERRE;ARGENTEUIL;;;
CHARTRETTES;ARCUEIL-CACHAN;;;
BOIS-LE-ROI;ANTONY;;;
HERICY;ANDRESY;;;
VULAINES-SUR-SEINE-SAMOREAU;AEROPORTCHARLES-DE-GAULLE-2-TGV;;;
VERNOU-SUR-SEINE;AEROPORTCHARLES-DE-GAULLE-1;;;
LAGRANDEPAROISSE;ACHERES-VILLE;;;
BAGNEAUX-SUR-LOING;ACHERES-GRAND-CORMIER;;;
MORET-VENEUX-LES-SABLONS;ABLON;;;
