longitude;latitude;desserte;station_id;nomgar;nb_trains;tps_mini;tps_moy;tps_maxi;gares_iden;nomgar_triee;longitude;latitude
 2.40291077749;48.7418819175;C;;ORLY VILLE;4;19;19;19;457;ACHERES-GRAND-CORMIER; 2.09336708539;48.9554110836
 2.41125771158;48.7642873137;C;;CHOISY-LE-ROI;12;6;8;12;75;VILLEPARISIS MITRY-LE-NEUF; 2.60342913479;48.9532191316
 2.23096431791;48.7400902382;C;;IGNY;4;48;48;48;343;VILLEPARISIS MITRY-LE-NEUF; 2.60342913479;48.9532191316
 2.29326694272;48.7024115695;C;;LONGJUMEAU;4;38;38;38;353;LA FERTE-SOUS-JOUARRE; 3.12544083275;48.9509569016
 2.30828063261;48.7005368381;C;;CHILLY-MAZARIN;4;35;35;35;354;VAL-D'ARGENTEUIL; 2.23087992653;48.9503754457
 2.12562406471;48.5510659295;C;;ST-CHERON;4;47;47;47;304;SEVRAN-BEAUDOTTES; 2.52476480704;48.9477425225
 2.00935340436;48.5336890577;C;;DOURDAN;4;57;57;57;250;SEVRAN-BEAUDOTTES; 2.52476480704;48.9477425225
 2.21533857263;48.5141895112;C;;CHAMARANDE;4;36;36;36;309;ARGENTEUIL; 2.25759495971;48.9469416388
 2.159545758;48.4369878642;C;;ETAMPES;5;36;43;45;300;MAISONS-LAFFITTE; 2.14433954569;48.945909519
 2.28684304155;48.9633533019;C;;ST-GRATIEN;4;14;14;14;402;VERT-GALANT; 2.56731618069;48.9443712695
 2.36629265282;48.8412315126;C;;GARE D'AUSTERLITZ;0;0;0;0;99;VILLENNES-SUR-SEINE; 1.99962933375;48.9393358648
 2.29800893482;48.8853640531;C;;PEREIRE-LEVALLOIS;0;0;0;0;38;SARTROUVILLE; 2.15787855093;48.937191556
 2.18296658196;48.7999081917;C;;CHAVILLE-VELIZY;8;14;15;18;327;SARTROUVILLE; 2.15787855093;48.937191556
 2.24065893283;48.8072165742;C;;MEUDON-VAL-FLEURY;7;10;11;13;356;SEVRAN-LIVRY; 2.53446677461;48.9362275507
 2.39122857461;48.8144435318;C;;IVRY-SUR-SEINE;4;3;3;3;88;SEVRAN-LIVRY; 2.53446677461;48.9362275507
 2.41741113435;48.7441039342;C;;LES SAULES;4;16;16;16;455;ST-DENIS; 2.34558371872;48.934480206
 2.35280154404;48.740455232;C;;RUNGIS-LA-FRATERNELLE;2;26;26;26;458;GENNEVILLIERS; 2.30770888814;48.9333951585
 2.33238461033;48.6694596609;C;;EPINAY-SUR-ORGE;8;18;19;21;319;DRANCY; 2.45458153611;48.9327807592
 2.30197053564;48.6067001991;C;;BRETIGNY;16;19;27;32;312;DRANCY; 2.45458153611;48.9327807592
 2.29089282134;48.56537318;C;;MAROLLES-EN-HUREPOIX;4;25;25;25;306;POISSY; 2.03981675956;48.932687096
 2.19106154974;48.5770158383;C;;BREUILLET-BRUYERES-LE-CHATEL;4;40;40;40;302;BLANC-MESNIL; 2.47531163783;48.9323508175
 2.30770888814;48.9333951585;C;;GENNEVILLIERS;4;9;9;9;406;BLANC-MESNIL; 2.47531163783;48.9323508175
 2.15407490343;48.7966967939;C;;PORCHEFONTAINE;4;19;19;19;328;AULNAY-SOUS-BOIS; 2.49503530924;48.9320731809
 2.26309518318;48.8293521017;C;;ISSY-VAL-DE-SEINE;7;5;6;6;9;AULNAY-SOUS-BOIS; 2.49503530924;48.9320731809
